ID;Semestre;Sede;Programa;En su rol como estudiante ¿Que tan identificado se siente con la mision y la vision de la Institucion?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Proyecto Educativo del Programa?;¿ El Proyecto Educativo del Programa garantiza el funcionamiento de su programa?; ¿El numero de docentes es suficientes para satisfacer las necesidades academicas de su programa?;¿La relacion entre la cantidad de estudiantes de su programa y los recursos académicos (libros, material de apoyo, bases de datos, guías de talleres, asesorías)  disponibles es la adecuada?;¿La relación entre la cantidad de estudiantes de su programa y los recursos físicos( laboratorios, salas de cómputo, bibliotecas, aulas de clase, equipos audiovisuales) disponibles es la adecuada?;¿ Ha asistido a reuniones dispuestas por el programa en las cuales se da a conocer el Reglamento Estudiantil?;¿Cuál es el medio a través del cual consulta el Reglamento Estudiantil?;¿Conoce los comités directivos del programa en los que puede participar como estudiante?;¿La participación de los estudiantes en los comités del programa ha contribuido con la toma decisiones?;¿Los docentes del programa cumplen con las expectativas en cuanto a experiencia para desarrallar las actividades académicas?;¿ Considera que la aplicación de las políticas en cuanto a la permanencia de sus docentes,  es?:;En el desarrollo de sus cursos, ¿ Usted utiliza materiales de apoyo o guías producidas por sus profesores? Si su respuesta es afirmativa, continúe con la siguiente pregunta;La calidad de los materiales de apoyo producidos por los profesores para el desarrollo de las actividades académicas, es:;De acuerdo con la metodología del programa, la pertinencia (adecuado) de los materiales de apoyo producidos por sus profesores para llevar a cabo las actividades académicas, es:;¿Conoce la reglamentación que regula la flexibilidad (entendida como movilidad, créditos optativos, créditos homologables, cursos electivos, alternativas de opción de grado) de su  plan de estudios?;¿ La reglamentación que regula la flexibilidad de su plan de estudios es eficaz y se aplica adecuadamente?;¿Considera que las estrategias llevadas a cabo para fomentar la interdisciplinariedad (relación de sus actividades académicas con otras disciplinas o áreas de conocimiento), han contribuido al mej...;¿ Existe correspondencia entre los métodos de enseñanza y aprendizaje que se emplean en su programa con los contenidos del Plan de Estudio?;¿Conoce las condiciones y exigencias académicas de permanencia y graduación ( entendidas como las estrategias que permitan al estudiante la culminación de sus estudios) de su programa?;¿Las estrategias que implementa el programa para que sus estudiantes finalicen su plan de estudios son adecuadas?;¿La reglamentación que regula la evaluación de su desempeño académico se divulga y se aplica adecuadamente?;¿ La evaluación que se realiza de su desempeño académico es coherente con los métodos pedagógicos (entendidos como estrategias de enseñanza)  empleados por los profesores?;¿El sistema de evaluación académica utilizado para valorar su desempeño académico le permite adquirir competencias, actitudes, conocimientos, capacidades y habilidades propias del programa?;¿Los procesos de evaluación y autoevaluación del programa han contribuido al mejoramiento de la calidad del mismo?;¿Conoce los programas que brinda Bienestar Institucional a la comunidad académica?;¿Las estrategias de divulgación de los programas que brinda Bienestar Institucional a la comunidad académica son efectivas?;¿Los servicios y actividades que brinda Bienestar Institucional han contribuido a su desarrollo personal?;¿Las orientaciones dadas en cuanto a los procesos administrativos que desarrolla su programa permiten cumplir a cabalidad con las funciones de docencia, investigación y proyección social?;¿La página web de la Institución es un buen medio para mantenerse informado?;¿Con que frecuencia consulta la página web de la Institución para mantenerse informado sobre temas de interés?;¿Cómo califica la efectividad de los sistemas de información académica (correos electrónicos, plataformas virtuales, bibliotecas digitales, etc.) de su Programa:;¿Cómo califica la efectividad de los procesos comunicativos ( medios utilizados para informar al estudiante) al interior de su Programa:;¿Cómo califica la calidad del acceso a los sistemas de comunicación e información del programa?;¿Cómo califica la orientación académica que ofrecen los directivos a su programa?;¿Cómo califica el liderazgo que demuestran los directivos de su programa?
1;10;Norte - Santander de Q;Ingenieria Industrial;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En cierta parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
2;8;Norte - Santander de Q;Ingenieria Industrial;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;Nada;SI;Pagina web institucional;SI;En gran parte;En gran parte;Excelente;SI;Excelente;Buena;SI;Totalmente;Totalmente;Totalmente;SI;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
3;8;Popayan;Administracion de Empresas ;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Difusion por parte de la Direccion del Programa;SI;Totalmente;En gran parte;Buena;SI;Buena;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;Totalmente;En gran parte;Casi siempre;Excelente;Excelente;Excelente;Excelente;Excelente
4;8;Norte - Santander de Q;Ingenieria Industrial;En gran parte;SI;En gran parte;Nada;En cierta parte;Nada;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Mala;SI;Buena;Buena;NO;Sin respuesta;Nada;Nada;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Nada;Nada;En cierta parte;Nada;Algunas veces ;Regular;Regular;Regular;Buena;Buena
5;6;Popayan;Administracion de Empresas ;En gran parte;NO;Sin respuesta;En gran parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Regular;Buena;Buena;Buena
6;1;Popayan;Psicologia;Nada;NO;Sin respuesta;Nada;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;Nada;Mala;NO;Sin respuesta;Mala;NO;Sin respuesta;Nada;Nada;NO;Sin respuesta;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nada;Nunca;Mala;Mala;Mala;Mala;Mala
7;5;Popayan;Administracion de Empresas ;En gran parte;NO;Sin respuesta;En cierta parte;Totalmente;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;Totalmente;Totalmente;En cierta parte;En gran parte;Nada;Totalmente;Totalmente;Casi siempre;Excelente;Excelente;Buena;Excelente;Excelente
8;10;Norte - Santander de Q;Ingenieria Industrial;En gran parte;SI;En gran parte;Nada;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;SI;En cierta parte;En gran parte;En cierta parte;SI;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Totalmente;Siempre;Regular;Regular;Regular;Buena;Buena
9;1;Popayan;Psicologia;En gran parte;SI;En gran parte;Totalmente;En gran parte;En gran parte;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
10;1;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;En gran parte;En gran parte;Nada;Nada;En cierta parte;En cierta parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
11;7;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;NO;Sin respuesta;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
12;7;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;Nada;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En gran parte;Nada;Nada;Nada;En cierta parte;En cierta parte;Algunas veces ;Regular;Regular;Regular;Buena;Buena
13;7;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Algunas veces ;Regular;Buena;Regular;Buena;Buena
14;6;Norte - Santander de Q;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;Nada;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
15;1;Popayan;Psicologia;En cierta parte;SI;En gran parte;Totalmente;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;Totalmente;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;En gran parte;En gran parte;En gran parte;Nada;En cierta parte;En gran parte;Algunas veces ;Buena;Regular;Regular;Buena;Buena
16;2;Norte - Santander de Q;Ingenieria Industrial;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;Casi siempre;Excelente;Excelente;Excelente;Excelente;Excelente
17;4;Popayan;Administracion de Empresas ;Totalmente;NO;Sin respuesta;Totalmente;Totalmente;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En cierta parte;Totalmente;Totalmente;Totalmente;Algunas veces ;Excelente;Buena;Buena;Buena;Excelente
18;1;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;Nada;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;En gran parte;En gran parte;En cierta parte;En cierta parte;Nada;En cierta parte;En gran parte;Algunas veces ;Excelente;Excelente;Buena;Excelente;Buena
19;4;Popayan;Administracion de Empresas ;En gran parte;SI;Totalmente;Totalmente;Totalmente;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
20;2;Popayan;Administracion de Empresas ;En gran parte;SI;En gran parte;Totalmente;En gran parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Regular;SI;En cierta parte;En gran parte;En gran parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Excelente;Excelente;Excelente;Excelente
21;7;Popayan;Administracion de Empresas ;Totalmente;NO;Sin respuesta;En cierta parte;Totalmente;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;Totalmente;Totalmente;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Siempre;Excelente;Buena;Excelente;Excelente;Excelente
22;4;Popayan;Administracion de Empresas ;En cierta parte;NO;Sin respuesta;En gran parte;En cierta parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Excelente;NO;Sin respuesta;Buena;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;En gran parte;En gran parte;Nada;Nada;En gran parte;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
23;8;Popayan;Administracion de Empresas ;En gran parte;SI;Totalmente;En cierta parte;Totalmente;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;NO;;Buena;NO;Sin respuesta;Totalmente;Totalmente;SI;En cierta parte;En gran parte;Totalmente;Totalmente;En gran parte;Nada;Nada;Nada;En cierta parte;En cierta parte;Algunas veces ;Regular;Buena;Buena;Excelente;Excelente
24;9;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Algunas veces ;Buena;Buena;Buena;Buena;Buena
25;7;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Regular;NO;Sin respuesta;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;Nada;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;Nada;En gran parte;En cierta parte;Algunas veces ;Buena;Regular;Regular;Buena;Excelente
26;1;Popayan;Psicologia;Totalmente;SI;Totalmente;En gran parte;Totalmente;Totalmente;SI;Otros;SI;En gran parte;En gran parte;Excelente;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Siempre;Buena;Buena;Excelente;Excelente;Excelente
27;8;Popayan;Administracion de Empresas ;En gran parte;SI;En gran parte;Totalmente;En gran parte;En gran parte;NO;Sin respuesta;SI;En gran parte;En gran parte;Excelente;SI;Buena;Buena;NO;Sin respuesta;En gran parte;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
28;2;Popayan;Administracion de Empresas ;Totalmente;SI;En gran parte;Totalmente;Totalmente;En gran parte;SI;Pagina web institucional;SI;En cierta parte;Totalmente;Buena;SI;Buena;Buena;SI;Totalmente;En gran parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;En gran parte;Totalmente;Siempre;Excelente;Excelente;Excelente;Excelente;Excelente
29;8;Popayan;Administracion de Empresas ;En gran parte;NO;Sin respuesta;Totalmente;En gran parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Excelente;NO;Sin respuesta;Totalmente;En gran parte;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En cierta parte;Totalmente;En gran parte;Totalmente;Totalmente;Casi siempre;Excelente;Excelente;Excelente;Excelente;Excelente
30;1;Popayan;Psicologia;Totalmente;SI;Totalmente;Totalmente;En gran parte;Nada;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;En cierta parte;En gran parte;Casi siempre;Regular;Buena;Buena;Buena;Buena
31;6;Norte - Santander de Q;Psicologia;En gran parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Excelente;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
32;5;Popayan;Administracion de Empresas ;Totalmente;NO;Sin respuesta;Totalmente;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;Nada;Nada;En gran parte;En cierta parte;Casi siempre;Buena;Buena;Buena;Regular;Regular
33;9;Popayan;Psicologia;En gran parte;SI;En gran parte;En cierta parte;En gran parte;En cierta parte;NO;Sin respuesta;SI;En gran parte;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
34;9;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En gran parte;En gran parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;Casi siempre;Buena;Buena;Regular;Buena;Buena
35;1;Popayan;Psicologia;En gran parte;SI;Totalmente;Totalmente;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Buena;NO;Sin respuesta;En gran parte;Totalmente;NO;Sin respuesta;Totalmente;En gran parte;En gran parte;En gran parte;Totalmente;En gran parte;En cierta parte;En gran parte;Totalmente;Casi siempre;Buena;Excelente;Buena;Buena;Excelente
36;1;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En gran parte;Totalmente;En gran parte;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Buena;SI;Excelente;Excelente;NO;Sin respuesta;Totalmente;Totalmente;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Excelente
37;5;Popayan;Administracion de Empresas ;Totalmente;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;NO;Sin respuesta;Mala;NO;Sin respuesta;En cierta parte;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;En gran parte;En gran parte;Nada;En cierta parte;Nada;Nada;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Regular
38;9;Popayan;Psicologia;En gran parte;NO;Sin respuesta;Totalmente;En cierta parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Excelente;Buena;Excelente;Excelente
39;6;Popayan;Psicologia;Totalmente;SI;Totalmente;Totalmente;Totalmente;En gran parte;NO;Sin respuesta;SI;En gran parte;Totalmente;Excelente;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;Totalmente;Totalmente;Totalmente;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Casi siempre;Buena;Excelente;Buena;Excelente;Excelente
40;1;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;Totalmente;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;Nada;En cierta parte;En cierta parte;Siempre;Buena;Buena;Buena;Buena;Buena
41;7;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Buena;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En cierta parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Excelente
42;8;Popayan;Administracion de Empresas ;Totalmente;SI;En gran parte;En cierta parte;En gran parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;En cierta parte;Buena;NO;;Regular;SI;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En gran parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
43;9;Popayan;Psicologia;En gran parte;SI;En gran parte;En gran parte;En cierta parte;En cierta parte;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Regular;SI;Regular;Buena;SI;En cierta parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Regular;Buena;Buena
44;10;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En gran parte;Regular;SI;Buena;Buena;SI;En gran parte;En gran parte;En cierta parte;SI;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Buena;Regular
45;1;Popayan;Psicologia;Totalmente;SI;Totalmente;En gran parte;Totalmente;En cierta parte;SI;Pagina web institucional;SI;En gran parte;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;Totalmente;Totalmente;SI;Totalmente;Totalmente;Totalmente;Totalmente;Totalmente;En gran parte;Totalmente;Totalmente;Totalmente;Totalmente;Casi siempre;Buena;Excelente;Buena;Buena;Excelente
46;9;Popayan;Psicologia;Totalmente;SI;En gran parte;Totalmente;Nada;Nada;SI;Pagina web institucional;NO;Sin respuesta;En cierta parte;Buena;SI;Excelente;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
47;6;Norte - Santander de Q;Psicologia;En cierta parte;SI;En gran parte;En cierta parte;Nada;Nada;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Regular;SI;Excelente;Regular;SI;En gran parte;En gran parte;En gran parte;NO;Sin respuesta;En cierta parte;En gran parte;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;En cierta parte;Nunca;Regular;Regular;Regular;Excelente;Excelente
48;8;Popayan;Contaduria Publica;Totalmente;NO;Sin respuesta;Totalmente;En gran parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;NO;Sin respuesta;Regular;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;En gran parte;Nada;Nada;Nada;Nada;En cierta parte;Casi siempre;Regular;Buena;Regular;Buena;Buena
49;9;Popayan;Psicologia;En gran parte;NO;Sin respuesta;En cierta parte;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En cierta parte;En gran parte;En gran parte;En cierta parte;Nada;En cierta parte;Nada;Nada;En cierta parte;En cierta parte;Algunas veces ;Buena;Buena;Buena;Regular;Regular
50;2;Popayan;Contaduria Publica;En cierta parte;SI;En gran parte;Totalmente;En cierta parte;En gran parte;SI;Pagina web institucional;NO;Sin respuesta;Totalmente;Buena;SI;Buena;Buena;NO;Sin respuesta;En cierta parte;En cierta parte;NO;Sin respuesta;Totalmente;Totalmente;En gran parte;En gran parte;En cierta parte;En cierta parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Excelente
51;10;Popayan;Psicologia;En cierta parte;SI;En cierta parte;En gran parte;En cierta parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;SI;En gran parte;En cierta parte;Buena;SI;Buena;Regular;SI;En gran parte;En gran parte;En gran parte;SI;Totalmente;Totalmente;En cierta parte;En cierta parte;Nada;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;Algunas veces ;Buena;Buena;Buena;Buena;Buena
52;9;Popayan;Psicologia;En cierta parte;NO;Sin respuesta;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Regular;SI;Regular;Regular;NO;Sin respuesta;En cierta parte;En cierta parte;SI;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;En cierta parte;Nada;Algunas veces ;Regular;Regular;Regular;Regular;Regular
53;8;Popayan;Administracion de Empresas ;Nada;NO;Sin respuesta;Nada;En cierta parte;En cierta parte;SI;Difusion por parte de la Direccion del Programa;NO;Sin respuesta;Nada;Mala;NO;Sin respuesta;Mala;NO;Sin respuesta;Nada;En cierta parte;SI;En cierta parte;Nada;Nada;Nada;Nada;En cierta parte;En cierta parte;Nada;Nada;Nada;Algunas veces ;Mala;Mala;Regular;Mala;Mala
54;1;Popayan;Psicologia;Nada;SI;En cierta parte;Totalmente;Nada;Nada;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Regular;Regular;NO;Sin respuesta;Nada;En cierta parte;NO;Sin respuesta;En cierta parte;Totalmente;Totalmente;Nada;En cierta parte;Nada;Nada;Nada;En cierta parte;Algunas veces ;Mala;Mala;Regular;Buena;Regular
55;9;Popayan;Contaduria Publica;En gran parte;SI;Totalmente;En gran parte;En gran parte;Totalmente;NO;Sin respuesta;NO;Sin respuesta;Totalmente;Excelente;SI;Excelente;Excelente;SI;Totalmente;En gran parte;En gran parte;SI;Totalmente;En gran parte;En gran parte;En gran parte;En gran parte;En cierta parte;En gran parte;En gran parte;En gran parte;Totalmente;Siempre;Buena;Buena;Buena;Buena;Buena
56;6;Popayan;Psicologia;En gran parte;SI;En gran parte;En cierta parte;En cierta parte;En cierta parte;NO;Sin respuesta;NO;Sin respuesta;En cierta parte;Buena;SI;Buena;Buena;SI;En gran parte;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Totalmente;Casi siempre;Buena;Buena;Buena;Buena;Buena
57;2;Popayan;Contaduria Publica;En gran parte;NO;Sin respuesta;En gran parte;En gran parte;Totalmente;SI;Pagina web institucional;NO;Sin respuesta;En gran parte;Excelente;SI;Buena;Buena;NO;Sin respuesta;En gran parte;En gran parte;SI;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;En gran parte;Casi siempre;Buena;Buena;Buena;Buena;Buena
